"UserPrincipalName","InboxItems","InboxOldestReceived","InboxNewestReceived","SentItemsItems","SentItemsOldestSent","SentItemsNewestSent"
"AdeleV@x7m2c.onmicrosoft.com","24","2023-05-04","2023-07-28","1","2023-05-24","2023-05-24"
"AlexW@x7m2c.onmicrosoft.com","9","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"DiegoS@x7m2c.onmicrosoft.com","3","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@x7m2c.onmicrosoft.com","1","","","0","",""
"GradyA@x7m2c.onmicrosoft.com","1","","","0","",""
"HenriettaM@x7m2c.onmicrosoft.com","1","","","0","",""
"IsaiahL@x7m2c.onmicrosoft.com","3","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"JohannaL@x7m2c.onmicrosoft.com","1","","","0","",""
"JoniS@x7m2c.onmicrosoft.com","1","","","0","",""
"LeeG@x7m2c.onmicrosoft.com","3","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"LidiaH@x7m2c.onmicrosoft.com","1","","","0","",""
"LynneR@x7m2c.onmicrosoft.com","1","","","0","",""
"MeganB@x7m2c.onmicrosoft.com","1","","","0","",""
"MiriamG@x7m2c.onmicrosoft.com","4","2023-04-05","2023-04-05","3","2023-04-05","2023-04-05"
"NestorW@x7m2c.onmicrosoft.com","4","2023-04-05","2023-04-05","3","2023-04-05","2023-04-05"
"PattiF@x7m2c.onmicrosoft.com","2","2023-04-05","2023-04-05","1","2023-04-05","2023-04-05"
"PradeepG@x7m2c.onmicrosoft.com","1","","","0","",""
"varunsandbox@x7m2c.onmicrosoft.com","159","2023-04-06","2025-11-25","0","",""
