"UserPrincipalName","InboxItems","InboxOldestReceived","InboxNewestReceived","SentItemsItems","SentItemsOldestSent","SentItemsNewestSent"
"GradyA@x7m2c.onmicrosoft.com","1","","","0","",""
"AdeleV@x7m2c.onmicrosoft.com","24","2023-05-04","2023-07-28","1","2023-05-24","2023-05-24"
"LeeG@x7m2c.onmicrosoft.com","3","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"HenriettaM@x7m2c.onmicrosoft.com","1","","","0","",""
"DiegoS@x7m2c.onmicrosoft.com","3","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"JoniS@x7m2c.onmicrosoft.com","1","","","0","",""
"JohannaL@x7m2c.onmicrosoft.com","1","","","0","",""
"LidiaH@x7m2c.onmicrosoft.com","1","","","0","",""
"AlexW@x7m2c.onmicrosoft.com","9","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"PattiF@x7m2c.onmicrosoft.com","2","2023-04-05","2023-04-05","1","2023-04-05","2023-04-05"
"IsaiahL@x7m2c.onmicrosoft.com","3","2023-04-05","2023-04-05","2","2023-04-05","2023-04-05"
"DiscoverySearchMailbox{D919BA05-46A6-415f-80AD-7E09334BB852}@x7m2c.onmicrosoft.com","1","","","0","",""
"MiriamG@x7m2c.onmicrosoft.com","4","2023-04-05","2023-04-05","3","2023-04-05","2023-04-05"
"varunsandbox@x7m2c.onmicrosoft.com","159","2023-04-06","2025-11-25","0","",""
"MeganB@x7m2c.onmicrosoft.com","1","","","0","",""
"PradeepG@x7m2c.onmicrosoft.com","1","","","0","",""
"LynneR@x7m2c.onmicrosoft.com","1","","","0","",""
"NestorW@x7m2c.onmicrosoft.com","4","2023-04-05","2023-04-05","3","2023-04-05","2023-04-05"
